rank,title,artist
1,Die With A Smile,Lady Gaga & Bruno Mars
2,A Bar Song (Tipsy),Shaboozey
3,Birds Of A Feather,Billie Eilish
4,Lose Control,"RE-
ENTRY"
5,APT.,ROSE & Bruno Mars
6,That's So True,Gracie Abrams
7,Luther,Kendrick Lamar & SZA
8,I Had Some Help,Post Malone Featuring Morgan Wallen
9,Espresso,Sabrina Carpenter
10,Taste,Sabrina Carpenter
11,TV Off,Kendrick Lamar Featuring Lefty Gunplay
12,Beautiful Things,"RE-
ENTRY"
13,Love Somebody,Morgan Wallen
14,Too Sweet,"RE-
ENTRY"
15,Timeless,The Weeknd & Playboi Carti
16,Squabble Up,Kendrick Lamar
17,"Good Luck, Babe!","RE-
ENTRY"
18,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
19,Stargazing,"RE-
ENTRY"
20,Not Like Us,"RE-
ENTRY"
21,Whatchu Kno About Me,GloRilla & Sexyy Red
22,30 For 30,SZA With Kendrick Lamar
23,High Road,Koe Wetzel & Jessie Murph
24,Who,"RE-
ENTRY"
25,Messy,Lola Young
26,Please Please Please,"RE-
ENTRY"
27,Smile,NEW
28,I Am Not Okay,"RE-
ENTRY"
29,BMF,SZA
30,Million Dollar Baby,"RE-
ENTRY"
31,Wind Up Missin' You,Tucker Wetmore
32,Bed Chem,Sabrina Carpenter
33,Sailor Song,Gigi Perez
34,Lies Lies Lies,"RE-
ENTRY"
35,Wildflower,"RE-
ENTRY"
36,Pink Pony Club,Chappell Roan
37,Like Him,"Tyler, The Creator Featuring Lola Young"
38,I Never Lie,Zach Top
39,Liar,Jelly Roll
40,I'm Gonna Love You,Cody Johnson & Carrie Underwood
41,Scorsese Baby Daddy,SZA
42,Tu Boda,Oscar Maydon & Fuerza Regida
43,"I Love You, I'm Sorry","RE-
ENTRY"
44,It's Ok I'm Ok,Tate McRae
45,4x4xU,Lainey Wilson
46,No One Noticed,The Marias
47,Good News,Shaboozey
48,Indigo,Sam Barber Featuring Avery Anna
49,Defying Gravity,Cynthia Erivo Featuring Ariana Grande
50,Loco,NEW
51,Drive,SZA
52,Que Pasaria...,Rauw Alejandro & Bad Bunny
53,Think I'm In Love With You,Chris Stapleton
54,Guy For That,"RE-
ENTRY"
55,Dancing In The Flames,The Weeknd
56,Hey Now,Kendrick Lamar Featuring Dody6
57,Help Me,Real Boston Richey
58,Residuals,Chris Brown
59,Am I Okay?,"RE-
ENTRY"
60,Diamond Boy (DTM),SZA
61,I Ain't Sayin',"RE-
ENTRY"
62,What Do I Do,SZA
63,Heart Of A Woman,Summer Walker
64,Another Life,SZA
65,Bad Dreams,"RE-
ENTRY"
66,No Pole,"RE-
ENTRY"
67,Empty Out Your Pockets,Juice WRLD
68,Dos Dias,Tito Double P & Peso Pluma
69,Close To You,"RE-
ENTRY"
70,Popular,Ariana Grande
71,Crybaby,SZA
72,Wacced Out Murals,Kendrick Lamar
73,Diet Pepsi,"RE-
ENTRY"
74,Apple,"RE-
ENTRY"
75,Boys Back Home,NEW
76,25,Rod Wave
77,Kitchen,SZA
78,Peekaboo,Kendrick Lamar Featuring AzChike
79,Burning Down,"RE-
ENTRY"
80,Disease,"RE-
ENTRY"
81,Shake Dat Ass (Twerk Song),"RE-
ENTRY"
82,Gang Baby,"RE-
ENTRY"
83,Khe?,"RE-
ENTRY"
84,Brokey,"RE-
ENTRY"
85,Rosones,"RE-
ENTRY"
86,Juno,"RE-
ENTRY"
87,Nadie,NEW
88,What Is This Feeling?,"RE-
ENTRY"
89,El Club,"RE-
ENTRY"
90,Dodger Blue,"RE-
ENTRY"
91,Pitorro de Coco,NEW
92,The Largest,"RE-
ENTRY"
93,Wondering Why,"RE-
ENTRY"
94,Ends Of The Earth,NEW
95,Chill Baby,SZA
96,Holy Smokes,"RE-
ENTRY"
97,High Road,"RE-
ENTRY"
98,On One Tonight,"RE-
ENTRY"
99,St. Chroma,"RE-
ENTRY"
100,Cowboy Songs,NEW
